      3.00   -274.30461250   -274.10257784   -274.10756858   -274.05999269   -273.84068655     
      3.40   -274.31461250   -274.15257784   -274.14756858   -274.12795871   -273.93575812     
      3.41   -274.31562543   -274.15338363   -274.14841592   -274.12895628   -273.94122970     
      3.42   -274.31661393   -274.15416955   -274.14924361   -274.12993007   -273.93892284     
      3.43   -274.31757857   -274.15493604   -274.15005209   -274.13088065   -273.94431453     
      3.44   -274.31851990   -274.15568355   -274.15084183   -274.13180868   -273.94574234     
      3.45   -274.31943844   -274.15641251   -274.15161321   -274.13271457   -273.94722303     
      3.46   -274.32033471   -274.15712337   -274.15236668   -274.13359895   -273.94875889     
      3.47   -274.32120920   -274.15781649   -274.15310259   -274.13446231   -273.95033276     
      3.48   -274.32206243   -274.15849235   -274.15382143   -274.13530518   -273.95193017     
      3.49   -274.32289486   -274.15915131   -274.15452355   -274.13612804   -273.95354011     
      3.50   -274.32370697   -274.15979381   -274.15520942   -274.13693143   -273.95515498     
      3.51   -274.32449921   -274.16042013   -274.15587922   -274.13771575   -273.95676930     
      3.52   -274.32527204   -274.16103067   -274.15653339   -274.13848150   -273.95837931     
      3.53   -274.32602588   -274.16162582   -274.15717232   -274.13922912   -273.95998239     
      3.54   -274.32676117   -274.16220588   -274.15779629   -274.13995902   -273.96157725     
      3.55   -274.32747835   -274.16277128   -274.15840573   -274.14067174   -273.96316245     
      3.56   -274.32817780   -274.16332232   -274.15900092   -274.14136765   -273.96473721     
      3.57   -274.32885994   -274.16385933   -274.15958219   -274.14204717   -273.96630093     
      3.58   -274.32952514   -274.16438261   -274.16014984   -274.14271069   -273.96785318     
      3.59   -274.33017383   -274.16489061   -274.16070382   -274.14336013   -273.96939797     
      3.60   -274.33080629   -274.16538736   -274.16124511   -274.14399277   -273.97092687     
      3.61   -274.33142298   -274.16587137   -274.16177373   -274.14461066   -273.97244391     
      3.62   -274.33202419   -274.16634287   -274.16228990   -274.14521404   -273.97394899     
      3.63   -274.33261034   -274.16680220   -274.16279397   -274.14580342   -273.97544228     
      3.64   -274.33318132   -274.16724888   -274.16328526   -274.14637708   -273.97691787     
      3.65   -274.33373828   -274.16768354   -274.16376543   -274.14694034   -273.97839032     
      3.66   -274.33428111   -274.16810790   -274.16423464   -274.14748947   -273.97984830     
      3.67   -274.33481015   -274.16852112   -274.16469275   -274.14802583   -273.98129468     
      3.68   -274.33532570   -274.16892347   -274.16514000   -274.14854975   -273.98272963     
      3.69   -274.33582808   -274.16931520   -274.16557665   -274.14906157   -273.98415320     
      3.70   -274.33631755   -274.16969659   -274.16600289   -274.14956146   -273.98556552     
      3.71   -274.33679445   -274.17006781   -274.16641901   -274.15004993   -273.98696667     
      3.72   -274.33725906   -274.17042925   -274.16682524   -274.15052724   -273.98835686     
      3.73   -274.33771162   -274.17078089   -274.16722174   -274.15099356   -273.98973615     
      3.74   -274.33815183   -274.17112277   -274.16760743   -274.15144833   -273.99110483     
      3.75   -274.33858115   -274.17145576   -274.16798522   -274.15189362   -273.99246272     
      3.76   -274.33899920   -274.17177967   -274.16835384   -274.15232868   -273.99381005     
      3.77   -274.33940626   -274.17209484   -274.16871367   -274.15275391   -273.99514702     
      3.78   -274.33980259   -274.17240141   -274.16906482   -274.15316961   -273.99647367     
      3.79   -274.34018840   -274.17269956   -274.16940749   -274.15357581   -273.99779015     
      3.80   -274.34056396   -274.17298949   -274.16974188   -274.15397291   -273.99909657     
      3.81   -274.34092947   -274.17327141   -274.17006815   -274.15436107   -274.00039301     
      3.82   -274.34128516   -274.17354553   -274.17038654   -274.15474057   -274.00167956     
      3.83   -274.34163096   -274.17381138   -274.17069544   -274.15510970   -274.00294806     
      3.84   -274.34196787   -274.17407042   -274.17099953   -274.15547296   -274.00421473     
      3.85   -274.34229538   -274.17432205   -274.17129507   -274.15582754   -274.00547232     
      3.86   -274.34261400   -274.17456673   -274.17158355   -274.15617460   -274.00671928     
      3.87   -274.34292381   -274.17480424   -274.17186475   -274.15651381   -274.00795809     
      3.88   -274.34322504   -274.17503489   -274.17213898   -274.15684561   -274.00918757     
      3.89   -274.34351789   -274.17525897   -274.17240649   -274.15717014   -274.01040793     
      3.90   -274.34380254   -274.17547659   -274.17266735   -274.15748756   -274.01161921     
      3.91   -274.34407918   -274.17568782   -274.17292170   -274.15779810   -274.01282148     
      3.92   -274.34434797   -274.17589285   -274.17316973   -274.15810195   -274.01401483     
      3.93   -274.34460912   -274.17609185   -274.17341154   -274.15839925   -274.01519936     
      3.94   -274.34486278   -274.17628493   -274.17364728   -274.15869019   -274.01637513     
      3.95   -274.34510912   -274.17647227   -274.17387708   -274.15897489   -274.01754225     
      3.96   -274.34534828   -274.17665395   -274.17410105   -274.15925349   -274.01870072     
      3.97   -274.34558044   -274.17682997   -274.17431920   -274.15952621   -274.01985064     
      3.98   -274.34580576   -274.17700079   -274.17453194   -274.15979317   -274.02099214     
      3.99   -274.34602438   -274.17716629   -274.17473929   -274.16005452   -274.02212519     
      4.00   -274.34623648   -274.17732675   -274.17494128   -274.16031044   -274.02324992     
      4.01   -274.34644216   -274.17748221   -274.17513807   -274.16056096   -274.02436642     
      4.02   -274.34664158   -274.17763301   -274.17532987   -274.16080634   -274.02547473     
      4.03   -274.34683488   -274.17777874   -274.17551653   -274.16104661   -274.02657488     
      4.04   -274.34702221   -274.17791991   -274.17569841   -274.16128197   -274.02766695     
      4.05   -274.34720369   -274.17805655   -274.17587553   -274.16151253   -274.02875101     
      4.06   -274.34737944   -274.17818871   -274.17604797   -274.16173834   -274.02982703     
      4.07   -274.34754962   -274.17831660   -274.17621589   -274.16195965   -274.03089522     
      4.08   -274.34771432   -274.17844026   -274.17637935   -274.16217649   -274.03195553     
      4.09   -274.34787368   -274.17855980   -274.17653847   -274.16238897   -274.03300802     
      4.10   -274.34802782   -274.17867533   -274.17669334   -274.16259725   -274.03405279     
      4.11   -274.34817687   -274.17878696   -274.17684409   -274.16280119   -274.03509030     
      4.12   -274.34832090   -274.17889474   -274.17699072   -274.16300130   -274.03611965     
      4.13   -274.34846004   -274.17899876   -274.17713337   -274.16319749   -274.03714139     
      4.14   -274.34859393   -274.17909787   -274.17727176   -274.16338905   -274.03815472     
      4.15   -274.34872366   -274.17919474   -274.17740673   -274.16357770   -274.03916143     
      4.16   -274.34884879   -274.17928795   -274.17753791   -274.16376264   -274.04016062     
      4.17   -274.34896945   -274.17937791   -274.17766546   -274.16394400   -274.04115239     
