    2.0000   -202.48612786   -202.48264685   -201.99432774   -201.93187830   -201.89886799   -201.88337903     
    2.2000   -202.74145537   -202.74115468   -202.33022360   -202.28533266   -202.24814520   -202.24075020     
    2.3000   -202.83194454   -202.82987801   -202.45363465   -202.41708914   -202.37414436   -202.37155997     
    2.4000   -202.90303580   -202.89884265   -202.55393653   -202.52422567   -202.47705795   -202.47569927     
    2.5000   -202.95826244   -202.95232625   -202.63533278   -202.61098110   -202.56194350   -202.55753490     
    2.6000   -203.00083920   -202.99357590   -202.70124878   -202.68104509   -202.63021363   -202.62344359     
    2.7000   -203.03338953   -203.02520629   -202.75449738   -202.73752265   -202.68518591   -202.67648685     
    2.8000   -203.05803434   -203.04931090   -202.79740555   -202.78298524   -202.72959052   -202.71914417     
    2.9000   -203.07935466   -203.07025660   -202.83074957   -202.81866752   -202.76465917   -202.75210930     
    3.0000   -203.09318681   -203.08415158   -202.85839701   -202.84799486   -202.79464357   -202.77960618     
    3.1000   -203.10333204   -203.09454129   -202.88054536   -202.87154563   -202.82016325   -202.80168147     
    3.2000   -203.11072102   -203.10226141   -202.89826448   -202.89044922   -202.84280964   -202.81939497     
    3.3000   -203.11609446   -203.10796768   -202.91242820   -202.90561878   -202.86373740   -202.83360513     
    3.4000   -203.11997555   -203.11217158   -202.92374655   -202.91778916   -202.88310202   -202.84500564     
    3.5000   -203.12267676   -203.11525855   -202.93279285   -202.92754899   -202.90020427   -202.85415478     
    3.6000   -203.12442276   -203.11751362   -202.94002881   -202.93536905   -202.91458043   -202.86149697     
    3.7000   -203.12545041   -203.11915616   -202.94582926   -202.94162601   -202.92637437   -202.86738795     
    3.8000   -203.12597365   -203.12035200   -202.95050326   -202.94662151   -202.93594018   -202.87211531     
    3.9000   -203.12615905   -203.12122411   -202.95431964   -202.95059866   -202.94360074   -202.87591988     
    4.0000   -203.12612693   -203.12186665   -202.95752873   -202.95375389   -202.94959154   -202.87903713     
    4.1000   -203.12596617   -203.12238828   -202.96037713   -202.95625024   -202.95408513   -202.88192894     
    4.2000   -203.12576132   -203.12307231   -202.96302353   -202.95822522   -202.95727408   -202.88655095     
    4.3000   -203.12542284   -203.12341767   -202.96542335   -202.95974735   -202.95941915   -202.89048465     
    4.4000   -203.12511253   -203.12347263   -202.96747408   -202.96095927   -202.96089637   -202.89265094     
    4.5000   -203.12484018   -203.12346294   -202.96914276   -202.96198350   -202.96187574   -202.89417114     
    4.6000   -203.12461269   -203.12344644   -202.97049058   -202.96277491   -202.96260817   -202.89527157     
    4.7000   -203.12434165   -203.12334625   -202.97141952   -202.96336286   -202.96319241   -202.89605110     
    4.8000   -203.12410307   -203.12323284   -202.97206210   -202.96380814   -202.96364935   -202.89658123     
    4.9000   -203.12390031   -203.12312786   -202.97250914   -202.96414736   -202.96400325   -202.89691680     
    5.0000   -203.12371967   -203.12302232   -202.97278532   -202.96440668   -202.96427801   -202.89709989     
    5.1000   -203.12354244   -203.12291355   -202.97292198   -202.96460282   -202.96448947   -202.89716457     
    5.2000   -203.12339205   -203.12280709   -202.97295017   -202.96475602   -202.96465640   -202.89713878     
    5.3000   -203.12325125   -203.12270130   -202.97289350   -202.96487348   -202.96478420   -202.89704332     
    5.4000   -203.12311928   -203.12259802   -202.97277305   -202.96496541   -202.96488651   -202.89689802     
    5.5000   -203.12299566   -203.12249812   -202.97260415   -202.96503680   -202.96496441   -202.89671475     
    5.6000   -203.12288060   -203.12240311   -202.97240258   -202.96509378   -202.96502837   -202.89650705     
    5.7000   -203.12277138   -203.12231263   -202.97217363   -202.96513783   -202.96507887   -202.89628023     
    5.8000   -203.12267363   -203.12222915   -202.97193498   -202.96517542   -202.96512048   -202.89604592     
    5.9000   -203.12258420   -203.12215196   -202.97168888   -202.96520688   -202.96515471   -202.89580739     
    6.0000   -203.12250280   -203.12208116   -202.97144060   -202.96523380   -202.96518333   -202.89556898     
    6.1000   -203.12242907   -203.12201669   -202.97119421   -202.96525739   -202.96520777   -202.89533377     
    6.5000   -203.12220176   -203.12181778   -202.97027694   -202.96533218   -202.96528165   -202.89446413     
    6.9000   -203.12205461   -203.12168045   -202.96952065   -202.96539543   -202.96533973   -202.89374695     
    7.3000   -203.12196766   -203.12160529   -202.96893273   -202.96545619   -202.96539562   -202.89318139     
    7.7000   -203.12191804   -203.12156862   -202.96848986   -202.96551411   -202.96544907   -202.89273812     
    8.1000   -203.12186937   -203.12151675   -202.96806556   -202.96555996   -202.96549240   -202.89238940     
    8.5000   -203.12184353   -203.12149007   -202.96776969   -202.96560882   -202.96553817   -202.89211204     
    8.9000   -203.12182390   -203.12147455   -202.96752939   -202.96565270   -202.96557926   -202.89188716     
    9.3000   -203.12180810   -203.12145654   -202.96733219   -202.96569181   -202.96561588   -202.89170249     
    9.7000   -203.12179693   -203.12144759   -202.96716842   -202.96572650   -202.96564828   -202.89154922     
   10.1000   -203.12178793   -203.12144045   -202.96703118   -202.96575727   -202.96567688   -202.89142085     
   10.5000   -203.12178054   -203.12143466   -202.96691527   -202.96578460   -202.96570212   -202.89131249     
   10.9000   -203.12177202   -203.12142458   -202.96681669   -202.96580893   -202.96572443   -202.89122036     
   11.3000   -203.12176696   -203.12142072   -202.96673230   -202.96583063   -202.96574415   -202.89114152     
   11.7000   -203.12155425   -203.12123825   -202.96665963   -202.96585004   -202.96576161   -202.89107365     
   12.1000   -203.12155119   -203.12123505   -202.96659670   -202.96586744   -202.96577709   -202.89101491     
   12.5000   -203.12123572   -203.12116023   -202.96654193   -202.96588306   -202.96579085   -202.89096380     
