    2.6000   -274.06825207   -273.95266747   -273.94523568   -273.88298540   -273.65994706    
    2.8000   -274.17775874   -274.04204734   -274.03508620   -273.99259808   -273.75147481    
    3.0000   -274.24595391   -274.09749324   -274.09106841   -274.06057952   -273.83876564    
    3.2000   -274.28844377   -274.13177155   -274.12599796   -274.10276247   -273.89433325    
    3.4000   -274.31481725   -274.15282757   -274.14784378   -274.12888380   -273.93492580    
    3.6000   -274.33102708   -274.16560180   -274.16151744   -274.14503767   -273.97052179    
    3.7000   -274.33654609   -274.16990201   -274.16628735   -274.15064336   -273.98518564    
    3.8000   -274.34079850   -274.17319176   -274.17004666   -274.15507711   -273.99873000    
    3.9000   -274.34404020   -274.17568413   -274.17299939   -274.15860425   -274.01127208    
    4.0000   -274.34647480   -274.17754851   -274.17530758   -274.16143325   -274.02290888    
    4.1000   -274.34826494   -274.17891938   -274.17710031   -274.16372574   -274.03371429    
    4.2000   -274.34954100   -274.17990440   -274.17848126   -274.16560564   -274.04374509    
    4.3000   -274.35040766   -274.18058858   -274.17953300   -274.16716653   -274.05304597    
    4.4000   -274.35094921   -274.18104020   -274.18032203   -274.16847869   -274.06165458    
    4.5000   -274.35123348   -274.18131048   -274.18090067   -274.16959147   -274.06960046    
    4.6000   -274.35131613   -274.18144892   -274.18131392   -274.17054990   -274.07692080    
    4.7000   -274.35124142   -274.18159540   -274.18148615   -274.17137976   -274.08364078    
    4.8000   -274.35104540   -274.18177286   -274.18144931   -274.17210300   -274.08978919    
    4.9000   -274.35075713   -274.18186884   -274.18136002   -274.17273650   -274.09539503    
    5.0000   -274.35040001   -274.18190122   -274.18123504   -274.17329372   -274.10048753    
    5.1000   -274.34999266   -274.18188408   -274.18108701   -274.17378496   -274.10509621    
    5.2000   -274.34955001   -274.18182884   -274.18092595   -274.17421893   -274.10925073    
    5.3000   -274.34908338   -274.18174147   -274.18075652   -274.17460035   -274.11295920    
    5.4000   -274.34860311   -274.18163523   -274.18058885   -274.17493945   -274.11629367    
    5.5000   -274.34811521   -274.18150977   -274.18042255   -274.17523261   -274.11925314    
