    2.4000   -273.94771093   -273.76192128   -273.75594289   -273.38351157    
    2.6000   -274.09012956   -273.93358460   -273.90389536   -273.54332039    
    2.8000   -274.17857109   -274.04425606   -273.99088409   -273.64655914    
    3.0000   -274.23353702   -274.11312449   -274.04405341   -273.74338275    
    3.2000   -274.26799658   -274.15565310   -274.07688072   -273.77242153    
    3.4000   -274.28980382   -274.18144187   -274.09756723   -273.85256269    
    3.5000   -274.29755717   -274.19004422   -274.10505109   -273.84993909    
    3.6000   -274.30379767   -274.19653261   -274.11124783   -273.88018615    
    3.7000   -274.30884883   -274.20132932   -274.11649088   -273.89678414    
    3.8000   -274.31296405   -274.20477328   -274.12103237   -273.90584807    
    3.9000   -274.31634098   -274.20713595   -274.12505806   -273.91602568    
    4.0000   -274.31913365   -274.20863583   -274.12870137   -273.92532125    
    4.1000   -274.32146179   -274.20944925   -274.13205465   -273.93628322    
    4.2000   -274.32341769   -274.20971768   -274.13517837   -273.94353307    
    4.3000   -274.32507462   -274.20955811   -274.13811333   -273.95129457    
    4.4000   -274.32648792   -274.20906437   -274.14088052   -273.95853659    
    4.5000   -274.32770089   -274.20831466   -274.14349098   -273.96524617    
    4.6000   -274.32874751   -274.20737338   -274.14595039   -273.97144497    
    4.7000   -274.32965436   -274.20629241   -274.14826207   -273.97715687    
    4.8000   -274.33044365   -274.20511561   -274.15042944   -273.98241420    
    4.9000   -274.33113136   -274.20387558   -274.15245144   -273.98723606    
    5.0000   -274.33173272   -274.20260236   -274.15433749   -273.99165754    
    5.1000   -274.33225767   -274.20131576   -274.15608637   -273.99569402    
    5.2000   -274.33271629   -274.20003457   -274.15770433   -273.99937907    
    5.3000   -274.33311584   -274.19877162   -274.15919505   -274.00273259    
    5.4000   -274.33346276   -274.19753658   -274.16056346   -274.00576760    
    5.5000   -274.33376190   -274.19633804   -274.16181555   -274.00852191    
    5.6000   -274.33402065   -274.19518130   -274.16295876   -274.01101008    
    5.7000   -274.33424223   -274.19407063   -274.16399877   -274.01325643    
    5.8000   -274.33443040   -274.19300767   -274.16494132   -274.01527606    
    5.9000   -274.33458969   -274.19199491   -274.16579468   -274.01708915    
    6.0000   -274.33472286   -274.19103156   -274.16656428   -274.01871128    
    6.1000   -274.33483223   -274.19011701   -274.16725510   -274.02013826    
    6.2000   -274.33492395   -274.18925542   -274.16787907   -274.02144348    
    6.3000   -274.33499736   -274.18843968   -274.16843699   -274.02258913    
    6.4000   -274.33505649   -274.18767270   -274.16893740   -274.02360461    
    6.5000   -274.33510297   -274.18695090   -274.16938483   -274.02449947    
    6.6000   -274.33513862   -274.18627244   -274.16978423   -274.02528658    
    6.7000   -274.33516575   -274.18563606   -274.17014232   -274.02598105    
    6.8000   -274.33518539   -274.18503899   -274.17046254   -274.02658966    
    6.9000   -274.33519899   -274.18447930   -274.17074915   -274.02712143    
    7.4000   -274.33521151   -274.18216980   -274.17179860   -274.02889069    
    7.9000   -274.33518676   -274.18050959   -274.17244449   -274.02972977    
    8.4000   -274.33515390   -274.17930988   -274.17288459   -274.03008454    
    8.9000   -274.33514486   -274.17845542   -274.17326307   -274.03024023    
    9.4000   -274.33514134   -274.17783854   -274.17361952   -274.03029064    
    9.9000   -274.33513307   -274.17738357   -274.17396343   -274.03031142    
   10.4000   -274.33512821   -274.17703427   -274.17428390   -274.03035080    
   10.9000   -274.33514172   -274.17676027   -274.17461287   -274.03038239    
   11.4000   -274.33513420   -274.17653073   -274.17488398   -274.03039998    
   11.9000   -274.33514339   -274.17634930   -274.17512025   -274.03040520    
   12.4000   -274.33515813   -274.17620155   -274.17533768   -274.03044155    
   12.9000   -274.33516864   -274.17607899   -274.17552112   -274.03047551    
   13.4000   -274.33517913   -274.17597952   -274.17566329   -274.03050265    
   13.9000   -274.33515640   -274.17590148   -274.17578419   -274.03053599    
   14.4000   -274.33515855   -274.17591229   -274.17581245   -274.03049742    
   14.9000   -274.33514363   -274.17598851   -274.17574347   -274.03053765    
   15.4000   -274.33514844   -274.17606817   -274.17569660   -274.03055762    
   15.9000   -274.33513638   -274.17603877   -274.17565328   -274.03054268    
   16.4000   -274.33512137   -274.17610599   -274.17560038   -274.03054476    
   16.9000   -274.33512045   -274.17608735   -274.17555787   -274.03055137    
   17.4000   -274.33512137   -274.17610535   -274.17551361   -274.03052516    
   17.9000   -274.33512036   -274.17607563   -274.17548228   -274.03051081    
   18.4000   -274.33512538   -274.17611208   -274.17546114   -274.03052699    
   18.9000   -274.33512673   -274.17603288   -274.17544214   -274.03055001    
   19.4000   -274.33507052   -274.17604335   -274.17542503   -274.03057151    
   19.9000   -274.33506897   -274.17604995   -274.17510682   -274.03056199    
   20.4000   -274.33506675   -274.17598253   -274.17499539   -274.03057732    
   20.9000   -274.33504166   -274.17584488   -274.17485877   -274.03058137    
   21.4000   -274.33503551   -274.17578131   -274.17481628   -274.03058684    
   21.9000   -274.33501601   -274.17571535   -274.17478716   -274.03059676    
                                                  
