    2.0000   -471.95120553   -471.53288981   -471.50108018   -471.46082141   -471.41030131   -471.38501911     
    2.1000   -472.11306102   -471.73746834   -471.70554605   -471.66536880   -471.60013208   -471.55971666     
    2.2000   -472.22654097   -471.89071810   -471.85862328   -471.81860521   -471.74420589   -471.68574522     
    2.3000   -472.30429632   -472.00496909   -471.97278204   -471.93312286   -471.85345828   -471.77659164     
    2.4000   -472.35534169   -472.08932958   -472.05698870   -472.01768878   -471.93393035   -471.84238817    
    2.5000   -472.38667245   -472.15090063   -472.11838390   -472.07948195   -471.99322969   -471.89031669     
    2.6000   -472.40359261   -472.19510925   -472.16238921   -472.12391544   -472.03673358   -471.92588866     
    2.7000   -472.41005535   -472.22614807   -472.19320145   -472.15522137   -472.06859187   -471.95287502    
    2.8000   -472.40913339   -472.24738156   -472.21416012   -472.17674512   -472.09205159   -471.98389775     
    2.9000   -472.40312853   -472.26102293   -472.22755547   -472.19074627   -472.10932413   -472.02145634   
    3.0000   -472.39572098   -472.27063669   -472.23697659   -472.20054237   -472.12565371   -472.05329356   -472.02258957   -472.01128308   -471.98927890   -471.94831401   -471.92956351   -471.90627211   -471.87531943   -471.85371418   -471.85266529   -471.83547176   -471.81844647   -471.80694556
    3.1000   -472.38405796   -472.27450953   -472.24050559   -472.20481455   -472.13513175   -472.07637209   -472.04818039   -472.02622360   -472.01283054   -471.97086553   -471.94786632   -471.92460369   -471.89686825   -471.88415589   -471.87322354   -471.86554302   -471.84909552   -471.82032740
    3.2000   -472.37103742   -472.27528332   -472.24090537   -472.20604910   -472.14243512   -472.09343143   -472.06820549   -472.04023337   -472.03181441   -471.99218384   -471.96075166   -471.94559384   -471.92083667   -471.91246703   -471.89614142   -471.88066459   -471.87457265   -471.83148239
    3.4000   -472.34345276   -472.27060734   -472.23550878   -472.20263455   -472.15311875   -472.11352098   -472.09544850   -472.06561897   -472.05801992   -472.02482848   -471.99072143   -471.97627909   -471.95999964   -471.95989518   -471.94912055   -471.92451792   -471.87108053   -471.86020135
    3.5000   -472.32999653   -472.26632544   -472.23088404   -472.19923518   -472.15689151   -472.11878413   -472.10449236   -472.07694580   -472.06687057   -472.03621806   -472.00590526   -471.99141285   -471.97940594   -471.97348492   -471.96925137   -471.94349882   -471.89075133   -471.87028529
    3.6000   -472.31728785   -472.26145401   -472.22560823   -472.19540431   -472.15948259   -472.12198619   -472.11099572   -472.08744271   -472.07340372   -472.04502309   -472.01924089   -472.00622253   -471.99641358   -471.99435479   -471.97638536   -471.95973237   -471.91629688   -471.89841633
    3.7000   -472.30544205   -472.25613507   -472.21995926   -472.19152062   -472.16073912   -472.12382180   -472.11551683   -472.09697174   -472.07819125   -472.05161804   -472.03059839   -472.01924136   -472.01343657   -472.01111578   -471.98244635   -471.97277975   -471.93821104   -471.92280343
    3.8000   -472.29462356   -472.25055211   -472.21418282   -472.18791143   -472.16061878   -472.12475567   -472.11842637   -472.10545581   -472.08165681   -472.05647462   -472.04024063   -472.03139519   -472.02914564   -472.02374772   -471.99017864   -471.98118323   -471.95693844   -471.94384957
    3.9000   -472.28494616   -472.24482648   -472.20846902   -472.18477942   -472.15920611   -472.12518065   -472.12003501   -472.11275917   -472.08413942   -472.06009860   -472.04849484   -472.04593537   -472.03820132   -472.03453745   -471.99914731   -471.98592864   -471.97290217   -471.96193682
    4.0000   -472.27646921   -472.23903625   -472.20296140   -472.18215497   -472.15674070   -472.12582420   -472.12061393   -472.11833271   -472.08589587   -472.06322118   -472.05903844   -472.05527996   -472.04466258   -472.04370041   -472.00732891   -471.98954133   -471.98637089   -471.97741984
    4.1000   -472.26919257   -472.23323762   -472.19776362   -472.17993394   -472.15356861   -472.12843376   -472.12079158   -472.12017873   -472.08712026   -472.07122988   -472.06515141   -472.06109045   -472.05143782   -472.04904094   -472.01430087   -471.99823861   -471.99219064   -471.99062170
    4.2000   -472.26305615   -472.22748741   -472.19294509   -472.17798179   -472.15003880   -472.13254503   -472.12034694   -472.11932107   -472.08798691   -472.08102550   -472.06814945   -472.06563498   -472.05792994   -472.05158123   -472.02011028   -472.00800917   -472.00183315   -471.99485833
    4.3000   -472.25795068   -472.22185362   -472.18854688   -472.17620340   -472.14644418   -472.13653621   -472.11904922   -472.11791357   -472.09013198   -472.08794489   -472.07140685   -472.06893867   -472.06334082   -472.05268459   -472.02488977   -472.01630104   -472.01130888   -471.99723738
    4.4000   -472.25373891   -472.21640771   -472.18458673   -472.17455178   -472.14315468   -472.13986304   -472.11736044   -472.11615700   -472.09710056   -472.08856870   -472.07447515   -472.07152408   -472.06781738   -472.05281271   -472.02878487   -472.02328362   -472.01927447   -471.99937897
    4.5000   -472.25027835   -472.21121156   -472.18106355   -472.17301140   -472.14357472   -472.13921703   -472.11545813   -472.11417815   -472.10324170   -472.08871579   -472.07705320   -472.07370926   -472.07149193   -472.05233866   -472.03194134   -472.02911459   -472.02592698   -472.00128597
    4.6000   -472.24743714   -472.20631021   -472.17796158   -472.17158140   -472.14606793   -472.13634624   -472.11350051   -472.11208627   -472.10832635   -472.08871072   -472.07913035   -472.07556929   -472.07448318   -472.05151860   -472.03461789   -472.03380378   -472.03143874   -472.00295166
    4.7000   -472.24510130   -472.20173168   -472.17525460   -472.17026490   -472.14827228   -472.13370054   -472.11330165   -472.11077327   -472.10990174   -472.08860310   -472.08076736   -472.07713899   -472.07689674   -472.05052249   -472.03810278   -472.03629942   -472.03595882   -472.00437161
    4.8000   -472.24317591   -472.19749024   -472.17290971   -472.16906362   -472.15014895   -472.13138104   -472.11652972   -472.10894617   -472.10781798   -472.08842344   -472.08203527   -472.07882766   -472.07845007   -472.04946403   -472.04131522   -472.03962694   -472.03787987   -472.00554937
    4.9000   -472.24158350   -472.19359058   -472.17089064   -472.16797593   -472.15173242   -472.12939989   -472.11932359   -472.10692553   -472.10580057   -472.08819502   -472.08300081   -472.08035601   -472.07953802   -472.04841960   -472.04390167   -472.04255257   -472.03908545   -472.00649920
    5.0000   -472.24026139   -472.19003106   -472.16916037   -472.16699666   -472.15306165   -472.12777331   -472.12148947   -472.10497737   -472.10390388   -472.08793639   -472.08372263   -472.08155392   -472.08043385   -472.04744104   -472.04593023   -472.04484405   -472.04000022   -472.00725412
    5.1000   -472.23915909   -472.18680580   -472.16768304   -472.16611806   -472.15417295   -472.12660659   -472.12294515   -472.10315555   -472.10215372   -472.08766209   -472.08425062   -472.08248221   -472.08116692   -472.04749354   -472.04659926   -472.04654163   -472.04068438   -472.00802419
    5.2000   -472.23823609   -472.18390538   -472.16642518   -472.16533085   -472.15509871   -472.12624805   -472.12337309   -472.10148686   -472.10056284   -472.08738343   -472.08462665   -472.08319260   -472.08176332   -472.04863877   -472.04789290   -472.04577417   -472.04118552   -472.00795969
    5.3000   -472.23746018   -472.18131676   -472.16535649   -472.16462532   -472.15586724   -472.12661861   -472.12288220   -472.09998233   -472.09913349   -472.08710907   -472.08488545   -472.08372864   -472.08224590   -472.04944971   -472.04881106   -472.04511595   -472.04154145   -472.00824804
    5.4000   -472.23680569   -472.17902310   -472.16445032   -472.16399203   -472.15650316   -472.12706135   -472.12215817   -472.09864098   -472.09785989   -472.08684552   -472.08505544   -472.08412662   -472.08263434   -472.04998249   -472.04941875   -472.04457014   -472.04178168   -472.00838133
    5.5000   -472.23625207   -472.17700402   -472.16368431   -472.16342175   -472.15702771   -472.12734607   -472.12145922   -472.09745372   -472.09673103   -472.08659737   -472.08515932   -472.08441643   -472.08294537   -472.05028918   -472.04977683   -472.04412998   -472.04192892   -472.00841753
    5.6000   -472.23578251   -472.17523621   -472.16304263   -472.16290324   -472.15745912   -472.12744928   -472.12083608   -472.09640685   -472.09573301   -472.08636751   -472.08521493   -472.08462236   -472.08319311   -472.05041578   -472.04993872   -472.04378612   -472.04200125   -472.00838374
    5.7000   -472.23538332   -472.17369430   -472.16252004   -472.16241870   -472.15781288   -472.12739192   -472.12029379   -472.09548464   -472.09485079   -472.08615749   -472.08523612   -472.08476388   -472.08338942   -472.05040235   -472.04995016   -472.04352650   -472.04201482   -472.00829959
    5.8000   -472.23504329   -472.17235210   -472.16209423   -472.16197097   -472.15810209   -472.12720411   -472.11982646   -472.09467104   -472.09406946   -472.08596776   -472.08523343   -472.08485643   -472.08354424   -472.05028308   -472.04984941   -472.04333570   -472.04198621   -472.00818045
    5.9000   -472.23475316   -472.17118383   -472.16172907   -472.16157956   -472.15833781   -472.12691601   -472.11942565   -472.09395083   -472.09337508   -472.08579789   -472.08521478   -472.08491213   -472.08366586   -472.05008653   -472.04966757   -472.04319610   -472.04193240   -472.00803818
    6.0000   -472.23450529   -472.17016514   -472.16141031   -472.16124434   -472.15852928   -472.12655500   -472.11908285   -472.09331032   -472.09275514   -472.08564686   -472.08518603   -472.08494032   -472.08376120   -472.04983602   -472.04942947   -472.04309120   -472.04186816   -472.00788182
    6.1000   -472.23429333   -472.16927396   -472.16113209   -472.16095860   -472.15868425   -472.12614461   -472.11879022   -472.09273758   -472.09219875   -472.08551320   -472.08515138   -472.08494817   -472.08383599   -472.04955011   -472.04915450   -472.04300849   -472.04180393   -472.00771821
    6.2000   -472.23411187   -472.16849002   -472.16087707   -472.16071239   -472.15880900   -472.12570365   -472.11850960   -472.09222206   -472.09169627   -472.08539492   -472.08511314   -472.08494091   -472.08389456   -472.04924289   -472.04885729   -472.04293877   -472.04174542   -472.00755216
    6.3000   -472.23395657   -472.16779834   -472.16066707   -472.16050531   -472.15890924   -472.12524929   -472.11829529   -472.09175621   -472.09124078   -472.08529093   -472.08507449   -472.08492346   -472.08394148   -472.04892618   -472.04854960   -472.04287883   -472.04169580   -472.00738741
    6.4000   -472.23382359   -472.16718399   -472.16048661   -472.16032900   -472.15898923   -472.12479296   -472.11811317   -472.09133260   -472.09082545   -472.08519916   -472.08503594   -472.08489882   -472.08397947   -472.04860770   -472.04823938   -472.04282495   -472.04165556   -472.00722632
    6.6000   -472.23361220   -472.16614498   -472.16020186   -472.16005086   -472.15910258   -472.12391479   -472.11782815   -472.09059019   -472.09009510   -472.08504617   -472.08496137   -472.08483794   -472.08403786   -472.04798719   -472.04763345   -472.04272981   -472.04160152   -472.00692037
    6.8000   -472.23341667   -472.16560498   -472.16004460   -472.15985867   -472.15919119   -472.12406462   -472.11767900   -472.09005220   -472.08984263   -472.08948281   -472.08490040   -472.08486185   -472.08475794   -472.08394242   -472.04738895   -472.04708317   -472.04264607   -472.04155670
    7.0000   -472.23330624   -472.16483323   -472.15990027   -472.15971257   -472.15922988   -472.12316536   -472.11752904   -472.09134493   -472.08930834   -472.08894703   -472.08483484   -472.08476994   -472.08469544   -472.08398550   -472.04687293   -472.04656979   -472.04257526   -472.04155418
    7.2000   -472.23322684   -472.16419191   -472.15980344   -472.15960939   -472.15925016   -472.12237470   -472.11742637   -472.09232416   -472.08884689   -472.08848305   -472.08477842   -472.08469429   -472.08463933   -472.08402776   -472.04641448   -472.04611222   -472.04251443   -472.04156732
    7.4000   -472.23317066   -472.16365630   -472.15974226   -472.15953847   -472.15925913   -472.12169597   -472.11735954   -472.09305769   -472.08844786   -472.08808097   -472.08473058   -472.08463359   -472.08459107   -472.08407104   -472.04601165   -472.04570936   -472.04246309   -472.04159173
    7.6000   -472.23313227   -472.16320594   -472.15970656   -472.15949150   -472.15926230   -472.12112179   -472.11731722   -472.09359799   -472.08809909   -472.08773159   -472.08469096   -472.08458579   -472.08455110   -472.08411605   -472.04565821   -472.04535685   -472.04242110   -472.04162422
