    2.1000   -471.89394837   -471.79188557   -471.75576858   -471.65822476   -471.61598110   -471.50482153      
    2.2000   -472.00472623   -471.91975052   -471.88548589   -471.77680605   -471.73679416   -471.65397018      
    2.3000   -472.08035044   -472.01195724   -471.97938388   -471.85973738   -471.82207275   -471.76558288      
    2.4000   -472.13041794   -472.07764335   -472.04657124   -471.91722967   -471.88187888   -471.84867671      
    2.5000   -472.16238335   -472.12329549   -472.09365499   -471.95649754   -471.92366065   -471.91035152      
    2.6000   -472.18229159   -472.15404321   -472.12578977   -471.98326848   -471.96059758   -471.94937102      
    2.7000   -472.19416679   -472.17361356   -472.14678429   -472.00181285   -471.99700681   -471.97058690      
    2.8000   -472.20100617   -472.18520109   -472.15983800   -472.02682012   -472.01607853   -471.98898498      
    2.9000   -472.20491008   -472.19096444   -472.16713775   -472.05166021   -472.02802040   -472.00794312      
    3.0000   -472.20728596   -472.19261792   -472.17038431   -472.07298728   -472.03887231   -472.02602351      
    3.1000   -472.2110663    -472.1934566    -472.1724926    -472.0940449    -472.0548701    -472.0514052    -472.0430446   -472.0405934     -471.9943075    -471.9779260   -471.9649117     -471.9329036   -471.9252355   -471.9122753      -471.9026506   -471.8939503   -471.8660610   -471.8521376
    3.2000   -472.2123585    -472.1904698    -472.1711616    -472.1103701    -472.0683170    -472.0619111    -472.0555684   -472.0534688     -472.0044241    -472.0031543   -471.9729955     -471.9652782   -471.9369160   -471.9358254      -471.9323665   -471.9087421   -471.8954989   -471.8848448
    3.3000   -472.2135089    -472.1865110    -472.1688229    -472.1246559    -472.0810804    -472.0700683    -472.0654864   -472.0635755     -472.0284380    -472.0115472   -471.9929731     -471.9790715   -471.9642701   -471.9598436      -471.9379898   -471.9263398   -471.9155649   -471.9072937
    3.4000   -472.2147095    -472.1820673    -472.1660478    -472.1372829    -472.0922194    -472.0767292    -472.0732222   -472.0714430     -472.0484641    -472.0197783   -472.0161022     -471.9882508   -471.9854089   -471.9808788      -471.9500237   -471.9464259   -471.9414903   -471.9297951
    3.5000   -472.2159762    -472.1775935    -472.1632365    -472.1481082    -472.1019126    -472.0819896    -472.0791479   -472.0776534     -472.0645532    -472.0356315   -472.0272920     -472.0083873   -472.0002487   -471.9917757      -471.9700014   -471.9662951   -471.9571220   -471.9467205
    3.6000   -472.2173959    -472.1734460    -472.1608196    -472.1572109    -472.1104080    -472.0860796    -472.0840695   -472.0826338     -472.0767234    -472.0511400   -472.0347337     -472.0251982   -472.0171773   -471.9985480      -471.9860698   -471.9857820   -471.9716066   -471.9597447
    3.7000   -472.2189679    -472.1697615    -472.1650742    -472.1584928    -472.1179179    -472.0898374    -472.0891045   -472.0868996     -472.0838290    -472.0632896   -472.0417296     -472.0391022   -472.0320466   -472.0054093      -472.0020513   -471.9988489   -471.9847866   -471.9706577
    3.8000   -472.2206965    -472.1712382    -472.1666266    -472.1568903    -472.1246097    -472.0963285    -472.0912449   -472.0908395     -472.0867554    -472.0724022   -472.0505197     -472.0481844   -472.0448884   -472.0152675      -472.0128954   -472.0080779   -471.9961760   -471.9795849
    3.9000   -472.2225572    -472.1760935    -472.1640685    -472.1557375    -472.1305897    -472.1015521    -472.0947520   -472.0925675     -472.0882133    -472.0789613   -472.0598284     -472.0558028   -472.0539911   -472.0257112      -472.0206273   -472.0143772   -472.0058650   -471.9866745
    4.0000   -472.2245003    -472.1797430    -472.1620737    -472.1550209    -472.1359136    -472.1054132    -472.0984478   -472.0933290     -472.0889516    -472.0836462   -472.0673659     -472.0649196   -472.0590697   -472.0337195      -472.0272878   -472.0193179   -472.0140150   -471.9922098
    4.1000   -472.2265421    -472.1826956    -472.1606455    -472.1547415    -472.1406226    -472.1082797    -472.1018133   -472.0936916     -472.0893173    -472.0873113   -472.0735847     -472.0724593   -472.0633006   -472.0397336      -472.0325312   -472.0233327   -472.0207569   -471.9964996
    4.2000   -472.2284289    -472.1844350    -472.1596312    -472.1546960    -472.1446981    -472.1103067    -472.1046725   -472.0937111     -472.0899384    -472.0893356   -472.0787113     -472.0781439   -472.0669338   -472.0440254      -472.0367116   -472.0267699   -472.0263318   -471.9997943
    4.3000   -472.2302046    -472.1853943    -472.1590053    -472.1548691    -472.1481946    -472.1118064    -472.1070481   -472.0937948     -472.0916257    -472.0892104   -472.0832634     -472.0820318   -472.0699476   -472.0470204      -472.0398796   -472.0308565   -472.0296075   -472.0022955
    4.4000   -472.2318333    -472.1857322    -472.1587174    -472.1551974    -472.1511358    -472.1129656    -472.1090095   -472.0945368     -472.0919505    -472.0891382   -472.0866321     -472.0849869   -472.0724421   -472.0490486      -472.0422026   -472.0344696   -472.0319284   -472.0041722
    4.5000   -472.2332917    -472.1855763    -472.1587404    -472.1556234    -472.1535277    -472.1139049    -472.1106274   -472.0954428     -472.0915310    -472.0900199   -472.0880725     -472.0872405   -472.0745090   -472.0503792      -472.0438399   -472.0373025   -472.0338133   -472.0055582
    4.6000   -472.2345696    -472.1850367    -472.1590952    -472.1560997    -472.1553380    -472.1146924    -472.1119594   -472.0960738     -472.0916032    -472.0909254   -472.0889882     -472.0879819   -472.0762223   -472.0512193      -472.0449334   -472.0394755   -472.0353353   -472.0065604
    4.7000   -472.2356677    -472.1842074    -472.1598091    -472.1565893    -472.1565364    -472.1153603    -472.1130507   -472.0964017     -472.0927713    -472.0902769   -472.0902497     -472.0877520   -472.0776407   -472.0517199      -472.0456062   -472.0410988   -472.0365586   -472.0072640
