      2.20   -202.84799855   -202.34712392
      2.22   -202.86760296   -202.37339366
      2.24   -202.88628262   -202.39857575
      2.26   -202.90407723   -202.42271467
      2.28   -202.92102524   -202.44585327
      2.30   -202.93716384   -202.46803276
      2.32   -202.95252890   -202.48929263
      2.34   -202.96715496   -202.50967083
      2.36   -202.98107530   -202.52920361
      2.38   -202.99432180   -202.54792569
      2.40   -203.00692510   -202.56587030
      2.42   -203.01891456   -202.58306926
      2.44   -203.03031835   -202.59955302
      2.46   -203.04116343   -202.61535075
      2.50   -203.06127958   -202.64499869
      2.52   -203.07059901   -202.65890134
      2.54   -203.07945651   -202.67222291
      2.56   -203.08787368   -202.68498702
      2.58   -203.09587119   -202.69721628
      2.60   -203.10346880   -202.70893243
      2.62   -203.11068538   -202.72015631
      2.64   -203.11753896   -202.73090794
      2.66   -203.12404677   -202.74120655
      2.68   -203.13022527   -202.75107060
      2.70   -203.13609017   -202.76051782
      2.72   -203.14165650   -202.76956526
      2.74   -203.14693858   -202.77822927
      2.76   -203.15195011   -202.78652557
      2.78   -203.16169168   -202.79272941
      2.80   -203.16625272   -202.80033304
      2.82   -203.17057304   -202.80761750
      2.84   -203.17467116   -202.81459108
      2.86   -203.17855827   -202.82126641
      2.88   -203.18224479   -202.82765575
      2.90   -203.18574059   -202.83377078
      2.92   -203.18905504   -202.83962268
      2.94   -203.19219341   -202.84521873
      2.96   -203.19517326   -202.85057509
      2.98   -203.19799615   -202.85570119
      3.00   -203.20067014   -202.86060649
      3.02   -203.20320205   -202.86529817
      3.04   -203.20560058   -202.86978867
      3.06   -203.20787176   -202.87408454
      3.08   -203.21002201   -202.87819398
      3.10   -203.21205741   -202.88212486
      3.12   -203.21398378   -202.88588476
      3.14   -203.21580664   -202.88948098
      3.16   -203.21753126   -202.89292050
      3.18   -203.21916263   -202.89628299
      3.20   -203.22070552   -202.89951243
      3.22   -203.22216446   -202.90260082
      3.24   -203.22354377   -202.90555441
      3.26   -203.22484754   -202.90837920
      3.28   -203.22607968   -202.91108091
      3.30   -203.22724387   -202.91366506
      3.32   -203.22834364   -202.91613694
      3.34   -203.22938234   -202.91850160
      3.36   -203.23036313   -202.92076391
      3.38   -203.23128904   -202.92292855
      3.40   -203.23216292   -202.92500001
      3.42   -203.23298748   -202.92698262
      3.44   -203.23376531   -202.92888053
      3.46   -203.23449881   -202.93069777
      3.48   -203.23519036   -202.93243821
      3.50   -203.23584214   -202.93410562
      3.52   -203.23645621   -202.93570365
      3.54   -203.23703455   -202.93723585
      3.56   -203.23757904   -202.93870567
      3.58   -203.23809137   -202.94011602
      3.60   -203.23857339   -202.94147124
      3.62   -203.23902660   -202.94277412
      3.64   -203.23945252   -202.94402789
      3.66   -203.23985257   -202.94523495
      3.68   -203.24022813   -202.94640021
      3.70   -203.24058047   -202.94752595
      3.72   -203.24091082   -202.94861529
      3.74   -203.24122033   -202.94967125
      3.76   -203.24150962   -202.95069253
      3.78   -203.24178072   -202.95168995
      3.80   -203.24203411   -202.95266194
      3.82   -203.24227074   -202.95361049
      3.84   -203.24249148   -202.95453670
      3.86   -203.24269721   -202.95544247
      3.88   -203.24288862   -202.95632750
      3.90   -203.24306669   -202.95719269
      3.92   -203.24323202   -202.95803726
      3.94   -203.24338531   -202.95886054
      3.96   -203.24352722   -202.95966179
      3.98   -203.24365836   -202.96044020
      4.00   -203.24377933   -202.96119500
      4.02   -203.24389069   -202.96192557
      4.04   -203.24399298   -202.96263142
      4.06   -203.24408670   -202.96331223
      4.08   -203.24417119   -202.96396768
      4.12   -203.24431994   -202.96520354
      4.14   -203.24438396   -202.96578420
      4.16   -203.24444159   -202.96634043
      4.18   -203.24449322   -202.96687269
      4.20   -203.24453920   -202.96738148
      4.22   -203.24457986   -202.96786735
      4.24   -203.24461554   -202.96833090
      4.26   -203.24464335   -202.96877251
      4.28   -203.24466986   -202.96919328
      4.30   -203.24469224   -202.96959364
      4.32   -203.24471076   -202.96997422
      4.34   -203.24472565   -202.97033569
      4.36   -203.24473716   -202.97067871
      4.38   -203.24474550   -202.97100391
      4.40   -203.24475088   -202.97131193
      4.42   -203.24475351   -202.97160341
      4.44   -203.24475356   -202.97187894
      4.46   -203.24475122   -202.97213914
      4.48   -203.24474666   -202.97238459
      4.50   -203.24474002   -202.97261587
      4.52   -203.24473147   -202.97283351
      4.54   -203.24472115   -202.97303805
      4.56   -203.24470918   -202.97323005
      4.58   -203.24469571   -202.97341000
      4.60   -203.24468083   -202.97357839
      4.62   -203.24466466   -202.97373569
      4.64   -203.24464732   -202.97388237
      4.66   -203.24462891   -202.97401887
      4.68   -203.24460950   -202.97414562
      4.70   -203.24458920   -202.97426304
      4.72   -203.24456809   -202.97437152
      4.74   -203.24454625   -202.97447145
      4.76   -203.24452374   -202.97456320
      4.78   -203.24450065   -202.97464713
      4.80   -203.24447702   -202.97472360
      4.82   -203.24445293   -202.97479292
      4.84   -203.24442844   -202.97485542
      4.86   -203.24440359   -202.97491141
      4.88   -203.24437844   -202.97496118
      4.90   -203.24435303   -202.97500502
      4.92   -203.24432741   -202.97504321
      4.94   -203.24430162   -202.97507602
      4.96   -203.24427570   -202.97510368
      4.98   -203.24424968   -202.97512645
      5.00   -203.24422360   -202.97514457
      5.02   -203.24419749   -202.97515825
      5.04   -203.24417139   -202.97516772
      5.06   -203.24414531   -202.97517319
      5.08   -203.24411928   -202.97517484
      5.10   -203.24409333   -202.97517289
      5.12   -203.24406748   -202.97516750
      5.14   -203.24404175   -202.97515886
      5.16   -203.24401616   -202.97514714
      5.18   -203.24399072   -202.97513250
      5.20   -203.24396546   -202.97511510
      5.22   -203.24394039   -202.97509508
      5.24   -203.24391552   -202.97507260
