      3.00   -472.39572698   -472.27064147   -472.23697592   -472.20053404   -472.12565485   -472.05329343   -472.02258904   -472.01131615   -471.98927672   -471.94830879
      3.02   -472.39353659   -472.27170946   -472.23798130   -472.20168181   -472.12775366   -472.05841848   -472.02818578   -472.01440947   -471.99433280   -471.95270812
      3.04   -472.39126632   -472.27262131   -472.23882842   -472.20267424   -472.12973784   -472.06327515   -472.03352727   -472.01745046   -471.99921619   -471.95719232
      3.06   -472.38892342   -472.27338601   -472.23952612   -472.20352036   -472.13161577   -472.06787267   -472.03862481   -472.02044109   -472.00392150   -471.96173733
      3.08   -472.38651793   -472.27401346   -472.24008172   -472.20422861   -472.13340985   -472.07223971   -472.04351116   -472.02335829   -472.00846184   -471.96630551
      3.10   -472.38406083   -472.27451169   -472.24050532   -472.20480980   -472.13513443   -472.07637201   -472.04818009   -472.02623168   -472.01282984   -471.97086903
      3.12   -472.38153933   -472.27488351   -472.24080591   -472.20527012   -472.13673885   -472.08022735   -472.05258808   -472.02910606   -472.01698233   -471.97535537
      3.14   -472.37897082   -472.27513983   -472.24098928   -472.20561654   -472.13826363   -472.08385191   -472.05678504   -472.03194427   -472.02095213   -471.97974681
      3.16   -472.37636183   -472.27528801   -472.24106257   -472.20585650   -472.13971784   -472.08725558   -472.06078151   -472.03474615   -472.02474444   -471.98402441
      3.18   -472.37371722   -472.27533457   -472.24103245   -472.20599697   -472.14110743   -472.09044634   -472.06458571   -472.03751250   -472.02836355   -471.98817431
      3.20   -472.37104005   -472.27528535   -472.24090509   -472.20604455   -472.14243683   -472.09343181   -472.06820521   -472.04024353   -472.03181399   -471.99218642
      3.22   -472.36832859   -472.27514492   -472.24068598   -472.20600556   -472.14370820   -472.09621961   -472.07164709   -472.04293760   -472.03510021   -471.99605165
      3.24   -472.36556489   -472.27491529   -472.24038020   -472.20588623   -472.14491854   -472.09881822   -472.07491816   -472.04558605   -472.03822550   -471.99975509
      3.28   -472.35966454   -472.27392570   -472.23927291   -472.20512485   -472.14674270   -472.10302269   -472.08050035   -472.05067086   -472.04357970   -472.00624579
      3.30   -472.35690175   -472.27347053   -472.23874583   -472.20479434   -472.14784691   -472.10510056   -472.08330773   -472.05322150   -472.04627468   -472.00955535
