      3.00     -0.03041636
      3.02     -0.02773817
      3.04     -0.02497541
      3.06     -0.02213878
      3.08     -0.01919600
      3.10     -0.01617664
      3.12     -0.01307321
      3.14     -0.00988319
      3.16     -0.00661698
      3.18     -0.00329870
      3.20      0.00005527
      3.22      0.00347292
      3.24      0.00690220
      3.26      0.01033277
      3.28     -0.01375184
      3.30     -0.01708701
      3.32     -0.01940936
      3.34      0.02372401
      3.36      0.02757181
      3.38      0.03119741
      3.40      0.03484845
      3.42      0.03859737
      3.44      0.04343035
      3.46      0.04633377
      3.48     -0.05040814
      3.50     -0.05465815
      3.52     -0.05912155
      3.54     -0.06382218
      3.56      0.06885004
      3.58      0.07426073
      3.60      0.08015333
      3.62      0.08662036
      3.64      0.09399917
      3.66      0.10257720
      3.68      0.11250705
      3.70      0.12422369
      3.72      0.13835763
      3.74      0.15583991
      3.76      0.17804842
      3.78     -0.20710084
      3.80     -0.24621969
      3.82     -0.30003991
      3.84     -0.37737077
      3.86     -0.49523808
      3.88     -0.68961585
      3.90      1.10247229
      3.92      1.75846634
      3.94      3.61327392
      3.96     10.46604906
      3.98     35.72635425
      4.00     13.13665636
      4.02      5.41406077
      4.04      2.36175249
      4.06      1.30989920
      4.08      0.83621568
      4.10      0.58470416
      4.12      0.43572323
      4.14      0.34005895
      4.16      0.27522235
      4.18      0.22905854
      4.20     -0.19502916
      4.22     -0.16915222
      4.24      0.14894044
      4.26      0.13288203
      4.28     -0.11985019
      4.30     -0.10905247
      4.32     -0.09978914
      4.34     -0.09231756
      4.36     -0.08574936
      4.38      0.08000700
      4.40      0.07497695
      4.42      0.07053169
      4.44      0.06657772
      4.46      0.06309369
      4.48      0.05914223
      4.50      0.05695602
      4.52     -0.04996976
      4.54     -0.05203483
      4.56     -0.04981848
      4.58     -0.04792663
      4.60     -0.04621288
      4.62      0.04472394
      4.64      0.04355293
      4.66      0.04255806
      4.68      0.04192115
      4.70      0.04154945
      4.72      0.04092828
      4.74      0.03725720
      4.76      0.01831036
      4.78      0.02693780
      4.80      0.02723564
      4.82      0.00227008
      4.84     -0.00991515
      4.86     -0.01539944
      4.88     -0.01692044
      4.90     -0.01513585
      4.92     -0.00539790
      4.94      0.04979663
      4.96      0.11642846
      4.98      0.02594604
      5.00     -0.00067765
      5.02     -0.00715391
      5.04     -0.00882743
      5.06     -0.00864621
      5.08     -0.00859786
      5.10     -0.00755693
      5.12      0.00697395
      5.14      0.00649867
      5.16      0.00604661
      5.18      0.00536553
      5.20      0.00484085
      5.22      0.00427532
      5.24     -0.00438491
      5.26     -0.00422768
      5.28     -0.00430808
      5.30     -0.00366396
      5.32     -0.00357409
      5.34     -0.00428345
      5.36     -0.00409561
      5.38     -0.00550758
      5.40     -0.00452083
      5.42     -0.00454011
      5.44     -0.00550450
      5.46     -0.00433731
      5.48     -0.00493189
      5.50     -0.00517676
      5.52     -0.00573042
      5.54     -0.00488939
      5.56     -0.00541659
      5.58     -0.00527846
      5.60     -0.00657472
      5.62     -0.00670512
      5.64     -0.00724581
      5.66     -0.00707435
      5.68     -0.00799336
      5.70     -0.00825166
      5.72     -0.00855140
      5.74     -0.00926276
      5.76     -0.00907125
      5.78     -0.00943449
      5.80     -0.00983092
      5.82     -0.00996999
      5.84     -0.01040003
      5.86     -0.01059120
      5.88     -0.01084891
      5.90     -0.01109997
      5.92     -0.01137546
      5.94     -0.01177672
      5.96     -0.01210339
      5.98     -0.01230838
      6.00     -0.01264869
      6.02     -0.01287082
      6.04     -0.01314064
      6.06     -0.01349378
      6.08     -0.01374330
      6.10     -0.01403713
      6.12     -0.01428833
      6.14     -0.01460459
      6.16     -0.01488532
      6.18     -0.01518160
      6.20     -0.01542254
      6.22     -0.01571926
      6.24     -0.01593045
      6.26     -0.01620626
      6.28     -0.01644739
      6.30     -0.01663349
      6.32     -0.01695742
      6.34     -0.01708930
      6.36     -0.01737303
      6.38     -0.01765136
      6.40     -0.01786799
      6.42     -0.01810470
      6.44     -0.01827303
      6.46     -0.01850894
      6.48     -0.01878646
      6.50     -0.01910340
      6.52     -0.01930012
      6.54     -0.01941205
      6.56     -0.01941671
      6.58     -0.01942484
      6.60     -0.01955418
      6.62     -0.01964245
      6.64     -0.01968685
      6.66     -0.01974814
      6.68     -0.01983867
      6.70     -0.01987305
      6.72     -0.01993376
      6.74     -0.02000329
      6.76     -0.02006449
      6.78     -0.02009162
      6.80     -0.02008206
      6.82     -0.02009217
      6.84     -0.02006048
      6.86     -0.01967307
      6.88     -0.02004035
      6.90     -0.01998179
      6.92     -0.01993333
      6.94     -0.01976798
      6.96     -0.01987480
      6.98     -0.01976852
      7.00     -0.01966967
      7.02     -0.01930488
      7.04     -0.01941235
      7.06     -0.01933465
      7.08     -0.01923338
      7.10     -0.01906078
      7.12     -0.01889106
      7.14     -0.01877800
      7.16     -0.01859820
      7.18     -0.01842813
      7.20     -0.01812268
      7.22     -0.01827367
      7.24     -0.01694105
      7.26     -0.01775494
      7.28     -0.01767601
      7.30     -0.01700785
      7.32     -0.01707116
      7.34     -0.01576973
      7.36     -0.01641579
      7.38     -0.01676009
      7.40     -0.01627356
      7.42     -0.01571710
      7.44     -0.01631473
      7.46     -0.01573936
      7.48     -0.01544093
      7.50     -0.01514814
      7.52     -0.01501718
      7.54     -0.01544806
      7.56     -0.01458192
      7.58     -0.01453196
      7.60     -0.01403584
      7.62     -0.01421082
      7.64     -0.01374978
      7.66     -0.01345149
      7.68     -0.01347615
      7.70     -0.01307472
      7.72     -0.03158095
      7.74     -0.01222708
      7.76     -0.01238085
      7.78     -0.01225268
      7.80     -0.01204749
      7.82     -0.00598613
      7.84     -0.01075013
      7.86     -0.01100964
      7.88     -0.01138382
      7.90     -0.01101004
      7.92     -0.01026261
      7.94     -0.01050839
      7.96     -0.01016733
      7.98     -0.01011480
      8.00     -0.00996891
      8.02     -0.00979413
      8.04     -0.00946899
      8.06     -0.00773586
      8.08     -0.01265081
      8.10     -0.01470769
      8.12     -0.00691341
      8.14     -0.00846763
      8.16     -0.00820968
      8.18     -0.00779429
      8.20     -0.00579150
