      3.00   -363.51493527   -363.50754644   -363.45429398   -363.36934593   -363.28602331   -363.25889422   -363.23525909   -363.22022138   -363.20752534   -363.17327411
      3.02   -363.51983222   -363.50744690   -363.45658022   -363.37246977   -363.29037174   -363.26286519   -363.23934401   -363.22543610   -363.21180815   -363.17881605
      3.04   -363.52451907   -363.50720710   -363.45874457   -363.37540640   -363.29457091   -363.26665751   -363.24324110   -363.23045134   -363.21590138   -363.18417068
      3.06   -363.52899953   -363.50684411   -363.46079634   -363.37816455   -363.29862794   -363.27027946   -363.24695929   -363.23527574   -363.21981516   -363.18934617
      3.08   -363.53328139   -363.50637040   -363.46274387   -363.38075252   -363.30254931   -363.27373893   -363.25050708   -363.23991760   -363.22355842   -363.19435050
      3.10   -363.53737299   -363.50579753   -363.46459442   -363.38317817   -363.30634105   -363.27704340   -363.25389257   -363.24438476   -363.22713901   -363.19919133
      3.12   -363.54128262   -363.50513693   -363.46635399   -363.38544893   -363.31000868   -363.28020001   -363.25712351   -363.24868464   -363.23056373   -363.20387601
      3.14   -363.54501826   -363.50440038   -363.46802716   -363.38757184   -363.31355733   -363.28321550   -363.26020729   -363.25282429   -363.23383828   -363.20841149
      3.16   -363.54858758   -363.50360037   -363.46961671   -363.38955351   -363.31699173   -363.28609628   -363.26315096   -363.25681031   -363.23696726   -363.21280435
      3.18   -363.55199788   -363.50275056   -363.47112331   -363.39140020   -363.32031627   -363.28884845   -363.26596126   -363.26064888   -363.23995411   -363.21706076
      3.20   -363.55525615   -363.50186647   -363.47254484   -363.39311778   -363.32353504   -363.29147774   -363.26864459   -363.26434588   -363.24280133   -363.22118653
      3.22   -363.55836901   -363.50096622   -363.47387568   -363.39471179   -363.32665182   -363.29398962   -363.27120709   -363.26790671   -363.24551063   -363.22518708
      3.24   -363.56134283   -363.50007170   -363.47510564   -363.39618747   -363.32967018   -363.29638924   -363.27365463   -363.27133638   -363.24808355   -363.22906754
      3.26   -363.56418366   -363.49920980   -363.47621878   -363.39754972   -363.33259346   -363.29868151   -363.27599302   -363.27463939   -363.25052238   -363.23283267
      3.28   -363.56689737   -363.49841372   -363.47719210   -363.39880316   -363.33542487   -363.30087106   -363.27822981   -363.27781789   -363.25283123   -363.23648693
      3.30   -363.56948956   -363.49772367   -363.47799503   -363.39995214   -363.33816744   -363.30296233   -363.28089006   -363.28035592   -363.25501701   -363.24003447
      3.32   -363.57196563   -363.49718545   -363.47859076   -363.40100076   -363.34082412   -363.30495953   -363.28383807   -363.28239783   -363.25709000   -363.24347916
      3.34   -363.57433069   -363.49684533   -363.47894135   -363.40195284   -363.34339770   -363.30686669   -363.28667773   -363.28434778   -363.25906346   -363.24682455
      3.36   -363.57658957   -363.49674070   -363.47901725   -363.40281202   -363.34589083   -363.30868768   -363.28941097   -363.28621135   -363.26095245   -363.25007395
      3.38   -363.57874675   -363.49688954   -363.47880767   -363.40358170   -363.34830599   -363.31042623   -363.29204064   -363.28799262   -363.26277216   -363.25323040
      3.40   -363.58080642   -363.49728556   -363.47832555   -363.40426506   -363.35064552   -363.31208598   -363.29456942   -363.28969543   -363.26453642   -363.25629672
      3.42   -363.58277252   -363.49790257   -363.47760316   -363.40486511   -363.35291169   -363.31367040   -363.29699978   -363.29132344   -363.26625656   -363.25927555
      3.44   -363.58464879   -363.49870462   -363.47668205   -363.40538462   -363.35510674   -363.31518283   -363.29933408   -363.29288018   -363.26794122   -363.26216937
      3.46   -363.58643884   -363.49965518   -363.47560387   -363.40582617   -363.35723293   -363.31662641   -363.30157465   -363.29436908   -363.26959638   -363.26498048
      3.48   -363.58814613   -363.50072240   -363.47440517   -363.40619214   -363.35929257   -363.31800414   -363.30372380   -363.29579337   -363.27122589   -363.26771094
      3.50   -363.58977400   -363.50188061   -363.47311593   -363.40648471   -363.36128790   -363.31931883   -363.30578382   -363.29715621   -363.27283210   -363.27036246
      3.52   -363.59132568   -363.50310991   -363.47175995   -363.40670586   -363.36322123   -363.32057315   -363.30775699   -363.29846056   -363.27441705   -363.27293580
      3.54   -363.59280429   -363.50439511   -363.47035601   -363.40685744   -363.36509478   -363.32176963   -363.30964558   -363.29970930   -363.27598968   -363.27542394
      3.56   -363.59421281   -363.50572456   -363.46891900   -363.40694112   -363.36691076   -363.32291066   -363.31145180   -363.30090515   -363.27790510   -363.27747306
      3.58   -363.59555414   -363.50708925   -363.46746086   -363.40695842   -363.36867131   -363.32399851   -363.31317784   -363.30205079   -363.28024289   -363.27900446
      3.60   -363.59683105   -363.50848206   -363.46599135   -363.40691076   -363.37037850   -363.32503539   -363.31482586   -363.30314878   -363.28252706   -363.28049492
      3.62   -363.59804623   -363.50989728   -363.46451856   -363.40679940   -363.37203438   -363.32602335   -363.31639800   -363.30420163   -363.28474494   -363.28195775
      3.64   -363.59920232   -363.51133019   -363.46304931   -363.40662555   -363.37364090   -363.32696434   -363.31789639   -363.30521180   -363.28689626   -363.28339371
      3.66   -363.60030187   -363.51277682   -363.46158939   -363.40639028   -363.37519996   -363.32786022   -363.31932315   -363.30618173   -363.28898174   -363.28480266
      3.68   -363.60134744   -363.51423377   -363.46014377   -363.40609454   -363.37671344   -363.32871278   -363.32068039   -363.30711389   -363.29100225   -363.28618426
