    2.0000   -273.60865072   -273.43952009   -273.25762666   -273.21521227   -273.19892762   -273.13786502      
    2.2000   -273.94460741   -273.71475732   -273.57733179   -273.55929099   -273.53203175   -273.53161233      
    2.4000   -274.14957792   -273.89442045   -273.81667678   -273.80625815   -273.78722499   -273.74898538      
    2.6000   -274.26831588   -274.01465545   -273.99307163   -273.94974681   -273.93125173   -273.91266514      
    2.8000   -274.33147556   -274.10283357   -274.09734524   -274.03945827   -274.02379865   -274.00609479      
    3.0000   -274.36254294   -274.17083022   -274.15276318   -274.09487389   -274.08116516   -274.06030428      
    3.1000   -274.36987068   -274.19445604   -274.17283344   -274.11414460   -274.10110095   -274.07881143      
    3.2000   -274.37330991   -274.21305272   -274.18891030   -274.12933396   -274.11690598   -274.09337198      
    3.3000   -274.37373773   -274.22766232   -274.20170834   -274.14129066   -274.12949262   -274.10488556      
    3.4000   -274.37185134   -274.23911021   -274.21184226   -274.15069619   -274.13956785   -274.11403313      
    3.5000   -274.36820155   -274.24804766   -274.21982422   -274.15807759   -274.14767043   -274.12132775      
    3.6000   -274.36322725   -274.25499354   -274.22607568   -274.16385540   -274.15422008   -274.12716535      
    3.7000   -274.35727879   -274.26035878   -274.23093648   -274.16836368   -274.15954243   -274.13185097      
    3.8000   -274.35063703   -274.26447113   -274.23468053   -274.17186816   -274.16389095   -274.13562261      
    3.9000   -274.34352880   -274.26759044   -274.23752059   -274.17457826   -274.16746164   -274.13866430      
    4.0000   -274.33614026   -274.26992457   -274.23962193   -274.17666102   -274.17040736   -274.14112064      
    4.1000   -274.32862676   -274.27163852   -274.24110686   -274.17824742   -274.17284606   -274.14310289      
    4.2000   -274.32112366   -274.27286431   -274.24206215   -274.17944693   -274.17487222   -274.14469917      
    4.3000   -274.31375288   -274.27370720   -274.24254133   -274.18034215   -274.17655925   -274.14597689      
    4.4000   -274.30663068   -274.27425051   -274.24256735   -274.18100012   -274.17796423   -274.14698654      
    4.5000   -274.29987403   -274.27456149   -274.24213600   -274.18147291   -274.17913505   -274.14776623      
    4.6000   -274.29360180   -274.27469392   -274.24121922   -274.18180561   -274.18011003   -274.14834354      
    4.7000   -274.28793119   -274.27468933   -274.23977252   -274.18202945   -274.18091869   -274.14873538      
    4.8000   -274.28296437   -274.27458070   -274.23775401   -274.18216227   -274.18158520   -274.14895226      
    4.9000   -274.27876627   -274.27439551   -274.23515258   -274.18224564   -274.18213513   -274.14900096      
    5.0000   -274.27534155   -274.27415424   -274.23200796   -274.18258423   -274.18228368   -274.14887840      
    5.1000   -274.27262995  -274.27262995   -274.22842128   -274.18294878   -274.18229409   -274.14857991      
    5.2000   -274.27052577  -274.27052577   -274.22453157   -274.18323859   -274.18227380   -274.14809347      
    5.3000   -274.26890985  -274.26890985   -274.22049397   -274.18346708   -274.18224499   -274.14740963      
    5.4000   -274.26766971  -274.26766971   -274.21644693   -274.18363862   -274.18220102   -274.14651146      
    5.5000   -274.26671478  -274.26671478   -274.21251295   -274.18376875   -274.18215927   -274.14539462      
    5.6000   -274.26597249  -274.26597249   -274.20878118   -274.18385785   -274.18210816   -274.14404727      
    5.7000   -274.26539040  -274.26539040   -274.20531844   -274.18391341   -274.18205561   -274.14247001      
    5.8000   -274.26492841  -274.26492841   -274.20216521   -274.18393808   -274.18200193   -274.14067127      
    5.9000   -274.26435526  -274.26435526   -274.19964933   -274.18377660   -274.18210522   -274.13738114      
    6.0000   -274.26404918  -274.26404918   -274.19712651   -274.18375176   -274.18204936   -274.13527211      
    6.1000   -274.26379871  -274.26379871   -274.19492758   -274.18371442   -274.18201033   -274.13305496      
    6.2000   -274.26359353  -274.26359353   -274.19302871   -274.18366181   -274.18196755   -274.13077242      
    6.3000   -274.26342348  -274.26342348   -274.19140562   -274.18359903   -274.18192690   -274.12847528      
    6.4000   -274.26328287  -274.26328287   -274.19002154   -274.18352284   -274.18188225   -274.12621116      
    6.6000   -274.26306859  -274.26306859   -274.18786725   -274.18335441   -274.18181279   -274.12196305      
    6.8000   -274.26291930  -274.26291930   -274.18634922   -274.18316979   -274.18176402   -274.11830063      
    7.0000   -274.26281781  -274.26281781   -274.18527845   -274.18296639   -274.18170882   -274.11533978      
    7.2000   -274.26275076  -274.26275076   -274.18452754   -274.18275016   -274.18165254   -274.11306567      
    7.4000   -274.26269852  -274.26269852   -274.18400349   -274.18253806   -274.18161877   -274.11137614      
    7.6000   -274.26267310  -274.26267310   -274.18362961   -274.18235233   -274.18159631   -274.11012778      
    7.8000   -274.26264688  -274.26264688   -274.18335233   -274.18218929   -274.18158812   -274.10922245      
    8.0000   -274.26264913  -274.26264913   -274.18313911   -274.18203506   -274.18154854   -274.10857414      
    8.2000   -274.26265818  -274.26265818   -274.18296948   -274.18189300   -274.18150989   -274.10811004      
    8.4000   -274.26267322  -274.26267322   -274.18283161   -274.18181248   -274.18150803   -274.10777326      
    8.6000   -274.26269365  -274.26269365   -274.18271743   -274.18174402   -274.18149378   -274.10752111      
    8.8000   -274.26271598  -274.26271598   -274.18262193   -274.18167901   -274.18147123   -274.10733394      
    9.0000   -274.26274151  -274.26274151   -274.18254200   -274.18164291   -274.18147363   -274.10720365      
    9.2000   -274.26276633  -274.26276633   -274.18247440   -274.18162177   -274.18149143   -274.10710552      
    9.4000   -274.26279282  -274.26279282   -274.18241767   -274.18156933   -274.18146715   -274.10701685      
    9.6000   -274.26281942  -274.26281942   -274.18236982   -274.18154747   -274.18145640   -274.10695989      
    9.8000   -274.26284733  -274.26284733   -274.18232921   -274.18154104   -274.18146678   -274.10691724      
   10.0000   -274.26287441  -274.26287441   -274.18229418   -274.18153431   -274.18147291   -274.10688676      
   10.2000   -274.26289822  -274.26289822   -274.18226323   -274.18151965   -274.18146423   -274.10679627      
   10.4000   -274.26292416  -274.26292416   -274.18223630   -274.18151606   -274.18147059   -274.10676059      
   10.6000   -274.26294887  -274.26294887   -274.18221215   -274.18151561   -274.18147868   -274.10676640      
   10.8000   -274.26297271  -274.26297271   -274.18219038   -274.18151681   -274.18148670   -274.10676105      
   11.0000   -274.26299542  -274.26299542   -274.18217049   -274.18149590   -274.18146950   -274.10675536      
   11.2000   -274.26301016  -274.26301016   -274.18215116   -274.18150509   -274.18148126   -274.10674403      
   11.4000   -274.26303071  -274.26303071   -274.18213440   -274.18148097   -274.18146076   -274.10674203      
   11.6000   -274.26299290  -274.26299290   -274.18211840   -274.18145194   -274.18142669   -274.10672165      
   11.8000   -274.26300468  -274.26300468   -274.18210291   -274.18144646   -274.18142585   -274.10672847      
   12.0000   -274.26301570  -274.26301570   -274.18208838   -274.18144450   -274.18142846   -274.10673528      
   12.2000   -274.26303395  -274.26303395   -274.18207675   -274.18144887   -274.18143572   -274.10674266      
   12.4000   -274.26305131  -274.26305131   -274.18206625   -274.18144804   -274.18143940   -274.10675018      
   12.9000   -274.26308751  -274.26308751   -274.18204395   -274.18144189   -274.18144074   -274.10676606      
                                                                

