    2.0000   -273.43302062   -273.31582814   -273.30883180   -273.26179222   -273.16022987   -273.08758177   -273.00823059     
    2.2000   -273.83571036   -273.69756211   -273.63467099   -273.57805283   -273.52540095   -273.45940922   -273.45304809     
    2.4000   -274.08929539   -273.93125003   -273.86384682   -273.75887888   -273.75523752   -273.74166855   -273.68382754     
    2.6000   -274.24119913   -274.07471965   -274.00633398   -273.91992444   -273.89718654   -273.87857220   -273.86128947     
    2.8000   -274.32885187   -274.16268420   -274.09507546   -274.02976379   -273.98468818   -273.97182099   -273.87563430     
    3.0000   -274.37670740   -274.21643303   -274.15078321   -274.09831229   -274.04056584   -274.03864178   -274.03045164     
    3.2000   -274.40002490   -274.24898926   -274.18609743   -274.14084792   -274.08297741   -274.07630141   -274.06816380     
    3.4000   -274.40832517   -274.26829368   -274.20865398   -274.16692487   -274.10863182   -274.10246504   -274.08818839     
    3.6000   -274.40764365   -274.27921613   -274.22310506   -274.18256301   -274.12356254   -274.11860042   -274.10006779     
    3.8000   -274.40187333   -274.28475588   -274.23231441   -274.19158445   -274.13162378   -274.12809526   -274.10707358     
    4.0000   -274.39356403   -274.28674368   -274.23805452   -274.19642545   -274.13531424   -274.13330069   -274.11096698     
    4.2000   -274.38439996   -274.28631514   -274.24139626   -274.19863106   -274.13627163   -274.13575078   -274.11290322     
    4.4000   -274.37548580   -274.28422650   -274.24294877   -274.19920453   -274.13650948   -274.13551726   -274.11369054     
    4.6000   -274.36749840   -274.28108753   -274.24299572   -274.19879054   -274.13619436   -274.13383121   -274.11388043     
    4.8000   -274.36076832   -274.27749815   -274.24159796   -274.19780184   -274.13529110   -274.13164481   -274.11381575     
    5.0000   -274.35536087   -274.27405842   -274.23872494   -274.19651291   -274.13408494   -274.12926463   -274.11367251     
    5.2000   -274.35116073   -274.27121273   -274.23446428   -274.19509407   -274.13273812   -274.12688336   -274.10533788     
    5.4000   -274.34883897   -274.26971148   -274.23109784   -274.19368625   -274.13038759   -274.12490037   -274.10541510     
    5.6000   -274.34633421   -274.26810976   -274.22524374   -274.19238249   -274.12875191   -274.12278187   -274.10574979     
    5.8000   -274.34445525   -274.26701054   -274.21918820   -274.19113442   -274.12708060   -274.12086444   -274.10588707     
    6.0000   -274.34304594   -274.26625649   -274.21334483   -274.18997855   -274.12532183   -274.11915381   -274.10592244     
    6.2000   -274.34198985   -274.26572679   -274.20799261   -274.18891732   -274.12345876   -274.11764188   -274.10591461     
    6.4000   -274.34119424   -274.26534258   -274.20328722   -274.18795382   -274.12151896   -274.11631652   -274.10589299     
    6.6000   -274.34058969   -274.26505350   -274.19929461   -274.18708520   -274.11957414   -274.11515812   -274.10609761     
    6.8000   -274.34012762   -274.26482906   -274.19599956   -274.18630289   -274.11772166   -274.11415940   -274.10366971     
    7.0000   -274.33976847   -274.26465557   -274.19333569   -274.18561171   -274.11605196   -274.11329339   -274.10909781     
    7.2000   -274.33950546   -274.26451579   -274.19122542   -274.18499807   -274.11460980   -274.11253509   -274.10870644     
    7.4000   -274.33929130   -274.26438987   -274.18955647   -274.18444897   -274.11341357   -274.11188183   -274.10835061     
    7.6000   -274.33913491   -274.26428964   -274.18825265   -274.18397055   -274.11244591   -274.11130922   -274.10805700     
    7.8000   -274.33901992   -274.26421258   -274.18722922   -274.18356292   -274.11167103   -274.11081053   -274.10781091     
    8.0000   -274.33893077   -274.26414853   -274.18642223   -274.18322016   -274.11105060   -274.11037608   -274.10761915     
    8.2000   -274.33885793   -274.26409440   -274.18577324   -274.18293286   -274.11054124   -274.10995937   -274.10745570     
    8.4000   -274.33880859   -274.26404985   -274.18524471   -274.18269620   -274.11013108   -274.10962123   -274.10733720     
    8.6000   -274.33876476   -274.26401459   -274.18479608   -274.18250368   -274.10978992   -274.10930685   -274.10723831     
    8.8000   -274.33874220   -274.26398614   -274.18442619   -274.18234904   -274.10950364   -274.10902980   -274.10717067     
    9.0000   -274.33870973   -274.26396025   -274.18412236   -274.18223032   -274.10926285   -274.10882216   -274.10712986     
    9.2000   -274.33869477   -274.26393301   -274.18386823   -274.18213048   -274.10905252   -274.10862230   -274.10708639     
    9.4000   -274.33867582   -274.26391587   -274.18364936   -274.18204012   -274.10886661   -274.10843087   -274.10702878     
    9.6000   -274.33865188   -274.26390829   -274.18346439   -274.18198121   -274.10871295   -274.10828629   -274.10703046     
    9.8000   -274.33864282   -274.26389569   -274.18330220   -274.18193275   -274.10857710   -274.10811738   -274.10700063     
   10.0000   -274.33863500   -274.26388692   -274.18315269   -274.18189462   -274.10845549   -274.10790177   -274.10698328     
   10.2000   -274.33862569   -274.26387442   -274.18302162   -274.18186648   -274.10834849   -274.10777779   -274.10696346     
   10.4000   -274.33862344   -274.26386536   -274.18290964   -274.18184276   -274.10825272   -274.10767812   -274.10684199     
   10.6000   -274.33863406   -274.26386575   -274.18281271   -274.18183152   -274.10815864   -274.10758323   -274.10690035     
   10.8000   -274.33863609   -274.26386211   -274.18272024   -274.18180295   -274.10807981   -274.10751384   -274.10680984     
   11.0000   -274.33862449   -274.26383913   -274.18262781   -274.18178420   -274.10800709   -274.10742472   -274.10680448     
   11.2000   -274.33862428   -274.26383812   -274.18253589   -274.18177752   -274.10794008   -274.10735844   -274.10680027     
   11.4000   -274.33863038   -274.26383943   -274.18246521   -274.18176972   -274.10787229   -274.10729570   -274.10680103     
   11.6000   -274.33862641   -274.26384048   -274.18239948   -274.18174214   -274.10781431   -274.10724128   -274.10676900     
   11.8000   -274.33862589   -274.26383496   -274.18234397   -274.18170496   -274.10775723   -274.10719059   -274.10669895     
