    2.0000   -362.77574427   -362.77193788   -362.67646209   -362.66553571   -362.57805152   -362.56258292   -362.50776234   -362.50768983   -362.43968094   -362.43043636     
    2.1000   -362.99075321   -362.98727398   -362.89241906   -362.88175335   -362.76466064   -362.74769471   -362.72032434   -362.71809815   -362.66408280   -362.64321373     
    2.2000   -363.15380933   -363.15065519   -363.05732850   -363.04686855   -362.90981399   -362.89437170   -362.87716496   -362.87530498   -362.82377676   -362.80725287     
    2.3000   -363.27651480   -363.27368110   -363.18273355   -363.17245608   -363.02731639   -363.01834652   -362.98731588   -362.98454362   -362.95089283   -362.93253258     
    2.4000   -363.36817214   -363.36564968   -363.27774256   -363.26772620   -363.12167651   -363.11639815   -363.06567894   -363.05868095   -363.03371949   -363.01765245     
    2.5000   -363.43594719   -363.43373595   -363.34941192   -363.33959872   -363.19613417   -363.19247054   -363.13472119   -363.13364846   -363.11037231   -363.06151725     
    2.6000   -363.48532727   -363.48340713   -363.40328729   -363.39375156   -363.25372053   -363.25121627   -363.19760609   -363.19463636   -363.17347398   -363.13156458     
    2.7000   -363.51936861   -363.51776804   -363.44401473   -363.43466328   -363.29826167   -363.29680994   -363.25108142   -363.24400991   -363.22214512   -363.18712665     
    2.8000   -363.54375641   -363.54243720   -363.47426349   -363.46523736   -363.33191054   -363.33151380   -363.29471148   -363.28292616   -363.26013189   -363.23209285     
    2.9000   -363.56036262   -363.55931048   -363.49689067   -363.48823676   -363.35825055   -363.35728018   -363.33018985   -363.31393547   -363.28983892   -363.26884269     
    3.0000   -363.57096723   -363.57017907   -363.51383641   -363.50556607   -363.37949086   -363.37624309   -363.35875808   -363.33861420   -363.31304406   -363.29945481     
    3.1000   -363.57716971   -363.57664343   -363.52651165   -363.51862187   -363.39812868   -363.39037804   -363.38050450   -363.35802430   -363.33094644   -363.32544396     
    3.2000   -363.58027380   -363.58000014   -363.53590225   -363.52838408   -363.41654964   -363.40111467   -363.39545529   -363.37285677   -363.34788323   -363.34435733     
    3.3000   -363.58137911   -363.58132512   -363.54263671   -363.53549414   -363.43451196   -363.40976732   -363.40573451   -363.38357648   -363.36743589   -363.35385846     
    3.4000   -363.58153547   -363.58145234   -363.54705071   -363.54033038   -363.45130454   -363.41736754   -363.41341651   -363.39109200   -363.38401717   -363.35995516     
    3.5000   -363.58139696   -363.58132301   -363.54929893   -363.54310876   -363.46677972   -363.42449696   -363.41952477   -363.40131433   -363.39253559   -363.36318332     
    3.6000   -363.58155611   -363.58145609   -363.54956419   -363.54403191   -363.48098040   -363.43157758   -363.42450344   -363.41347753   -363.39438933   -363.36412766     
    3.7000   -363.58232390   -363.58195788   -363.54824465   -363.54342974   -363.49397121   -363.43926060   -363.42852957   -363.42301240   -363.39429059   -363.36337366     
    3.8000   -363.58349952   -363.58287855   -363.54590083   -363.54176852   -363.50580602   -363.44783703   -363.43167156   -363.42939288   -363.39307910   -363.36145353     
    3.9000   -363.58487869   -363.58406961   -363.54306147   -363.53954240   -363.51652217   -363.45664736   -363.43396739   -363.43335438   -363.39115222   -363.35881630     
    4.0000   -363.58630378   -363.58538003   -363.54011786   -363.53722996   -363.52608560   -363.46502125   -363.43571079   -363.43545926   -363.38875444   -363.35581695     
    4.1000   -363.58768034   -363.58670140   -363.53732096   -363.53678391   -363.53287251   -363.47267616   -363.43692104   -363.43620737   -363.38604624   -363.35271559     
    4.2000   -363.58895903   -363.58796760   -363.54340023   -363.53481154   -363.53191272   -363.47954304   -363.43725139   -363.43629318   -363.38313797   -363.34968444     
    4.3000   -363.59011763   -363.58914281   -363.55028813   -363.53265108   -363.53014306   -363.48563900   -363.43689392   -363.43581619   -363.38010946   -363.34682391     
    4.4000   -363.59114950   -363.59021057   -363.55650287   -363.53084743   -363.52859730   -363.49101466   -363.43600962   -363.43488679   -363.37702193   -363.34418404     
    4.5000   -363.59205673   -363.59116622   -363.56204398   -363.52937564   -363.52732728   -363.49573254   -363.43474053   -363.43361746   -363.37392457   -363.34178426     
    4.6000   -363.59284610   -363.59201204   -363.56696106   -363.52819394   -363.52631247   -363.49985754   -363.43321093   -363.43211451   -363.37085790   -363.33962778     
    4.7000   -363.59352671   -363.59275418   -363.57130984   -363.52725493   -363.52551491   -363.50345237   -363.43152626   -363.43047216   -363.36785543   -363.33770917     
    4.8000   -363.59410863   -363.59340085   -363.57514459   -363.52651270   -363.52489382   -363.50657553   -363.42977241   -363.42876918   -363.36494454   -363.33601801     
    4.9000   -363.59460201   -363.59396116   -363.57851626   -363.52592649   -363.52441153   -363.50928048   -363.42801642   -363.42706807   -363.36214697   -363.33454072     
    5.0000   -363.59501668   -363.59444455   -363.58147189   -363.52546219   -363.52403579   -363.51161547   -363.42630818   -363.42541590   -363.35947933   -363.33326218     
    5.1000   -363.59533105   -363.59483263   -363.58414245   -363.52505905   -363.52370725   -363.51369153   -363.42458446   -363.42374872   -363.35694566   -363.33216256     
