    2.1000   -363.19176193   -363.10577515   -362.96581631   -362.91731002   -362.85097316   -362.78637099   -362.72467827   -362.71072002   -362.69341048   -362.65902600    
    2.2000   -363.35341813   -363.24418014   -363.10300482   -363.05558950   -363.01202095   -362.94746580   -362.89583654   -362.87584813   -362.87309966   -362.82358048    
    2.3000   -363.47423275   -363.34664010   -363.20351267   -363.15686123   -363.13256622   -363.06897605   -363.03591079   -363.00923026   -363.00111352   -362.96223236    
    2.4000   -363.56367521   -363.42146527   -363.27620081   -363.23019260   -363.22173151   -363.16340677   -363.14568841   -363.10910000   -363.10775210   -363.07370252    
    2.5000   -363.62900851   -363.47483314   -363.32781860   -363.28929182   -363.27972830   -363.24618729   -363.22037847   -363.19750230   -363.18299021   -363.16150712    
    2.6000   -363.67584401   -363.51177538   -363.36401031   -363.33631912   -363.31980398   -363.31141513   -363.27264733   -363.26853364   -363.24198393   -363.22827048    
    2.7000   -363.70851337   -363.53622531   -363.39024488   -363.37264543   -363.36874451   -363.33815489   -363.32509407   -363.31355867   -363.29035177   -363.27576709    
    2.8000   -363.73035791   -363.55124024   -363.42104544   -363.40497117   -363.38934484   -363.37006710   -363.36088634   -363.34326340   -363.32931425   -363.30863312    
    2.9000   -363.74395246   -363.55921049   -363.45571180   -363.42048158   -363.40581350   -363.40104883   -363.38969427   -363.36181886   -363.35625036   -363.33045582    
      3.00   -363.75176949   -363.56243645   -363.48510870   -363.43492229   -363.43265103   -363.42057254   -363.40572397   -363.38781785   -363.36620041   -363.34532480
      3.02   -363.75264904   -363.56253220   -363.49010700   -363.43986546   -363.43447286   -363.42533821   -363.40704542   -363.39184817   -363.36784222   -363.34708306
      3.04   -363.75335226   -363.56248872   -363.49489597   -363.44459153   -363.43618605   -363.43000108   -363.40852417   -363.39535166   -363.36942974   -363.34860487
      3.06   -363.75388921   -363.56231297   -363.49948574   -363.44911094   -363.43782402   -363.43450960   -363.41035901   -363.39817603   -363.37094754   -363.34990888
      3.08   -363.75426725   -363.56200259   -363.50388943   -363.45343096   -363.43968580   -363.43855932   -363.41266664   -363.40024499   -363.37237616   -363.35102917
      3.10   -363.75449708   -363.56159308   -363.50810661   -363.45755874   -363.44339256   -363.44052439   -363.41540217   -363.40166619   -363.37371047   -363.35201525
