      2.20   -363.47529997   -363.35881740   -363.15428189   -363.12793652   -363.09544714   -363.05861374   -363.01458536   -362.99248117   -362.93739486   -362.90800849   -362.86225271   -363.05111872      
      2.40   -363.64818847   -363.52965701   -363.36897915   -363.33205402   -363.28147417   -363.27940237   -363.21475752   -363.16692310   -363.12268475   -363.10730376   -363.08504085   -363.05111872    
      2.50   -363.69764058   -363.57891913   -363.43639076   -363.39736510   -363.35100154   -363.33874763   -363.27482839   -363.21752733   -363.19691143   -363.16146062   -363.15456323   -363.13617337    
      2.60   -363.73014482   -363.61165959   -363.48568787   -363.44499789   -363.40484837   -363.38136144   -363.31621851   -363.25444032   -363.25322654   -363.21478102   -363.19687419   -363.19590444    
      2.70   -363.74993708   -363.63187215   -363.52057691   -363.47873737   -363.44518740   -363.41308015   -363.34332461   -363.29865319   -363.28048751   -363.25689882   -363.24454681   -363.23451587    
      2.80   -363.76009722   -363.64262647   -363.54481146   -363.50190465   -363.47534484   -363.43668246   -363.35995666   -363.33250855   -363.30296851   -363.28357773   -363.26047865   -363.23309409    
      2.90   -363.76326177   -363.64660141   -363.56150681   -363.51723627   -363.49790930   -363.45445747   -363.37072628   -363.35802918   -363.32418257   -363.32083107   -363.31456943   -363.26990811    
      3.00   -363.76043325   -363.64485265   -363.57218827   -363.52587963   -363.51426475   -363.46686480   -363.37798318   -363.37680508   -363.35016945   -363.33874434   -363.33228326   -363.30090326 
      3.20   -363.74683547   -363.63306669   -363.58128349   -363.53627963   -363.53417583   -363.48242329   -363.40189965   -363.39819279   -363.37706695   -363.37300741   -363.34942500   -363.34287339 
      3.30   -363.73709248   -363.62427319   -363.58229804   -363.54303441   -363.53569971   -363.48600895   -363.41109789   -363.41065851   -363.38376333   -363.38030125   -363.36890894   -363.34636978 
      3.40   -363.72628433   -363.61444878   -363.58228735   -363.54748638   -363.53667771   -363.48744147   -363.42201951   -363.41834373   -363.39146787   -363.38524631   -363.38137962   -363.35225826 
      3.50   -363.71485710   -363.60406229   -363.58207015   -363.54975551   -363.53747191   -363.48733376   -363.43047503   -363.42553578   -363.40240838   -363.39293458   -363.38124062   -363.36371744 
      3.60   -363.70326987   -363.59360138   -363.58220710   -363.55007660   -363.53820882   -363.48670807   -363.43646971   -363.43267336   -363.41450039   -363.39472141   -363.38137103   -363.37496129 
      3.70   -363.69176969   -363.58342884   -363.58289327   -363.54879316   -363.53867139   -363.48622991   -363.44037804   -363.44007362   -363.42390537   -363.39461879   -363.38913810   -363.37658231 
      3.80   -363.68058521   -363.58402656   -363.57401080   -363.54651308   -363.53869914   -363.48627967   -363.44881415   -363.44163085   -363.43026878   -363.39884336   -363.39337448   -363.37417169 
      3.90   -363.66993000   -363.58536756   -363.56585101   -363.54368416   -363.53770226   -363.48685555   -363.45744931   -363.44157540   -363.43420894   -363.40750233   -363.39151285   -363.37105083 
      4.00   -363.65989575   -363.58676281   -363.55951899   -363.54070164   -363.53516516   -363.48754169   -363.46571650   -363.44059264   -363.43654398   -363.41491663   -363.38907366   -363.36744954 
      4.10   -363.65057437   -363.58807003   -363.55514721   -363.53782930   -363.53111657   -363.48799596   -363.47333465   -363.43928543   -363.43775429   -363.42106555   -363.38600387   -363.36316561   
      4.20   -363.64223509   -363.58937447   -363.55239448   -363.53529341   -363.52670687   -363.48751195   -363.48007147   -363.43799796   -363.43796597   -363.42587596   -363.38336683   -363.36076405   
      4.30   -363.63468543   -363.59048209   -363.55023278   -363.53304532   -363.52267505   -363.48616580   -363.48602237   -363.43761744   -363.43746746   -363.42902849   -363.37998363   -363.35845319      
      4.60   -363.61800485   -363.59318711   -363.54438508   -363.52848589   -363.51721282   -363.50019968   -363.47478405   -363.44144947   -363.43369612   -363.42809869   -363.37090663   -363.36400010 
      4.80   -363.61100772   -363.59440936   -363.54011424   -363.52669310   -363.51694110   -363.50680024   -363.46517645   -363.44338640   -363.43003770   -363.42539018   -363.36882453   -363.36503146 
      5.00   -363.60641176   -363.59529078   -363.53614573   -363.52559250   -363.51762202   -363.51179243   -363.45621488   -363.44423777   -363.42648514   -363.42290223   -363.37326211   -363.35947915 
      5.20   -363.60317697   -363.59554960   -363.53218776   -363.52437289   -363.51769895   -363.51473925   -363.44837716   -363.44327811   -363.42265072   -363.42015300   -363.37964120   -363.35462567 
      5.40   -363.60110090   -363.59584937   -363.52935524   -363.52376803   -363.51829643   -363.51726579   -363.44320325   -363.44156960   -363.41978247   -363.41816706   -363.38318531   -363.35008552 
      5.60   -363.59975011   -363.59608948   -363.52727476   -363.52342497   -363.51911561   -363.51887551   -363.44270276   -363.43662079   -363.41758351   -363.41663507   -363.38570399   -363.34615698 
      5.80   -363.59883163   -363.59624776   -363.52574016   -363.52328511   -363.52036123   -363.51935401   -363.44243172   -363.43229326   -363.41583996   -363.41534708   -363.38766428   -363.34284728 
      6.00   -363.59819327   -363.59634471   -363.52461603   -363.52334271   -363.52108333   -363.51973601   -363.44225218   -363.42874842   -363.41450654   -363.41430829   -363.38914086   -363.34005019 
      6.40   -363.59626679   -363.59525714   -363.52181576   -363.52166995   -363.51987008   -363.51852344   -363.44000871   -363.42228239   -363.41090166   -363.41072676   -363.39364646   -363.33474016 
      6.80   -363.59538814   -363.59481448   -363.52127528   -363.52029047   -363.51931187   -363.51824340   -363.43917861   -363.41809198   -363.40929325   -363.40910579   -363.39562475   -363.33104718 
      7.00   -363.59518109   -363.59474067   -363.52120912   -363.51993713   -363.51919228   -363.51827948   -363.43904459   -363.41662708   -363.40891245   -363.40872679   -363.39619569   -363.32976914 
      7.50   -363.59484373   -363.59460159   -363.52096046   -363.51934851   -363.51893159   -363.51835516   -363.43878137   -363.41393701   -363.40833319   -363.40817681   -363.39723802   -363.32738650 
      8.00   -363.59466400   -363.59451785   -363.52064275   -363.51902362   -363.51874977   -363.51842696   -363.43857399   -363.41222577   -363.40807666   -363.40795101   -363.39791619   -363.32583101 
     10.00   -363.59457412   -363.59454675   -363.51980413   -363.51885758   -363.51864955   -363.51860299   -363.43824497   -363.40948966   -363.40801317   -363.40795838   -363.39930376   -363.32359294 
                                                  
